no,record_key,label,series,date,year_start,year_end,maker,status,grade,holder,city,inventory,whereabouts_tier,record_url,bound_lower,bound_upper,versions,conflicts,open_questions,resolved_questions,sources,plate
1,icon-armillary-pedestal-portraits,The portraits on the equatorial armillary's pedestal,lifetime,"c. 1584 (instrument built) – December 1596 (the recording block's first issue); the inscribed '1580' is Tycho's floruit year, not an execution date",1584,1598,"Unrecorded. Christianson's 'probably painted by Gemperle' remains an uncited hedge (grade C) — Beckett & Christensen 1921 never mention these portraits, and DBL's Gemperlin entry is silent on the armillary. Gemperlin WAS available: recruited at Augsburg 1575, royal settlement letter 23 April 1577, documented in Denmark from 1578, died 1587 of a Copenhagen epidemic on Tycho's own printed testimony (De mundi II, p. 284) — his residency brackets the whole preferred painting window.",lost,A,Det Kongelige Bibliotek (hand-coloured exemplar),Copenhagen,LN 432 2°,destroyed,https://archive.org/details/den-kbd-pil-130018165806-001,c. 1584,December 1596 (the Icones instrumentorum issue),2,2,0,0,S_ICON_TBV2006; S_ICON_CHYTRAEUS1594; S_ICON_MECHANICA; S_ICON_THOREN; S_ICON_CHRISTIANSON2020; S_ICON_CHRISTIANSON; S_ICON_DREYER; S_ICON_DOSSIER_2026; S_ICON_BLAEU1664; S_ICON_TBOOX; S_ICON_ICONES1596,plates/icon-armillary-pedestal.jpg
2,icon-tapestry-figure,The Kronborg tapestry figure — the conjectured earliest likeness,lifetime,1581–1584 (woven),1581,1584,"Hans Knieper's tapestry workshop, Helsingør (the royal genealogy series for Kronborg)",extant,C,"Nationalmuseet, Danmarks Middelalder og Renæssance",Copenhagen,Genstandsnummer CLXXIII (piece-level number for this tapestry),located,https://samlinger.natmus.dk/dmr/asset/168262,1581,1584,0,2,0,0,S_ICON_MORTENSEN1946; S_ICON_JERN1976; S_ICON_REINDEL2006; S_ICON_DOSSIER_2026,plates/icon-tapestry-figure.jpg
3,icon-steensgaard-oil,"The Steensgaard panel — a lifetime portrait or an early copy, never tested",lifetime,the likeness c. mid-1580s; the panel untested,1584,1588,,untraced,C,Candidate: Det Nationalhistoriske Museum på Frederiksborg,"Hillerød, Denmark","A 8191 (candidate identification, not confirmed)",untraced,https://frederiksborg.dk/kunstvaerk/a-8191/,c. 1584,c. 1588,0,2,5,0,S_ICON_MORTENSEN1946; S_ICON_FRIIS; S_ICON_RUNDETAARN1937; S_ICON_DOSSIER_2026; S_ICON_WM1938; S_ICON_KARLSON1928; S_ICON_DAA,plates/icon-steensgaard-oil.jpg
4,icon-stjerneborg-astronomers,The Stjerneborg astronomer cycle — Tycho as the terminus of his own science,lifetime,1584 – 1594,1584,1594,"Unrecorded. Tycho names nobody. Beckett & Christensen assume Tobias Gemperlin 'stiltiende' and attach the meteorological-diary painter entries of spring 1591 to this cycle — impossible, since Gemperlin was dead by 1587. No source documents any painter. Hans van Steenwinckel — documented at Stjerneborg's design and construction (c. 1584, resident on Hven through 1590) and as painter of the mural quadrant's perspectival architecture — is the best-profiled alternative, likewise unattested for this cycle. Christianson's Gemperle sentence restates Beckett (his entry cites Christensen & Beckett 1921, 18–21) and is not independent evidence.",lost,A,,"Site only: Stjerneborg, island of Ven, Skåne, Sweden",,destroyed,,1584,1594,0,1,0,0,S_ICON_EPISTOLAE_1596; S_BECKETT; S_ICON_TBV2006; S_ICON_CHYTRAEUS1594; S_ICON_RESEN1668; S_ICON_ZEEBERG1993; S_ICON_MOSLEY; S_ICON_CHRISTIANSON; S_ICON_DOSSIER_2026,
5,icon-gemperlin-oil-portrait,The Frederiksborg oil (attributed to Gemperlin) — known through C. A. Jensen's 1838 copy,lifetime,c. 1586–87 (original); burned 1859,1586,1587,"Attributed to Tobias Gemperlin (Augsburg painter in Tycho's service from 1575, dead of the Copenhagen plague by 1587). The attribution is scholarly consensus resting on the working relationship, not on a signature or document — and the hedge is foundational, not late: Friis ('vel det sandsynligste, at det har været et Originalportræt, malet af Gemperlin') and Madsen ('vel') both hedged it at the outset, and Mortensen and the Dansk Biografisk Leksikon hedge it still. Beckett's 1897 case compared Jensen's copy only to the 1586 engraving and a sketch then under Goltzius's name — derivatives to derivatives, never to the signed Vedel 1578 or St Ibb 1578 anchors — and Karlson (1928), who also showed that Beckett attributed Gemperlin works from reproductions, doubted the attribution in a single unreasoned clause judged 'efter kopian'. Hans Knieper is excluded as a rival hand by Tycho's own division-of-labour statement on the 1587 mural quadrant.",lost,B,Roskilde Kloster (Den Skeel-Juel-Brahe'ske Stiftelse),"Roskilde, Denmark",,located,https://tidsskrift.dk/historiskaarbogforroskildeamt/article/view/103024,late 1586,1587,6,2,1,0,S_ICON_MORTENSEN1946; S_ICON_CHRISTIANSON; S_ICON_DOSSIER_2026; S_ICON_GASSENDI; S_ICON_FRIIS; S_ICON_MADSEN; S_ICON_TBV2006; S_ICON_BECKETT1897; S_ICON_KARLSON1928; S_ICON_BRUUNHANSEN2013; S_ICON_CHRISTIANSON2020,plates/icon-gemperlin-oil-portrait.jpg
6,icon-woodcut-1586,The woodcut 'Effigies' (Westergaard 1376) — the praedelineatum's record,lifetime,design 1586; in use by February 1592,1586,1592,"Anonymous cutter — Nielsen 1921 (p. 185) infers, from a 1585 letter and undeciphered monograms, that German wood-cutters resided at Uraniborg; no cutter is named for any Uraniborg block, and off-island cutting cannot be excluded (Tycho's wood-cutter was away in Germany, August 1585). After a model in the Gemperlin likeness family; that Gemperlin ever cut a block is explicitly not established. The Stenwinkel sketch attribution rests solely on an uncited sentence in Christianson 2000, p. 291.",extant,B,Impressions in institutional collections; the surrogate reproduced here is from the 1592 Progymnasmata prospectus,,,edition multiple,,late 1586,February 1592,0,0,0,0,S_ICON_MORTENSEN1946; S_ICON_CHRISTIANSON; S_ICON_NIELSEN1921; S_ICON_NORLIND1970; S_ICON_DOSSIER_2026,plates/icon-woodcut-1586.jpg
7,icon-prague-panel,The Prague panel — Mortensen's Clementinum portrait,lifetime,1586–1592 (design family),1586,1601,,attested,C,Unlocated; Mortensen (1946) placed it in the Clementinum's astronomical museum. The Mathematical Museum was dissolved in 1785; Národní knihovna ČR (the Klementinum's current occupant) could not be reached and does not participate in eSbírky.cz.,Prague,,attested,,1586,open,0,4,7,0,S_ICON_MORTENSEN1946; S_ICON_MORTENSEN1942; S_ICON_FRIIS; S_ICON_RUNDETAARN1937; S_ICON_FALCK1644; S_ICON_WELLCOME1355I; S_ICON_CROSSROADS2002; S_ICON_DOSSIER_2026,plates/icon-prague-panel.jpg
8,icon-mural-portrait,The mural quadrant portrait (Uraniborg),lifetime,1586–1587 (tablet: 1587),1582,1587,"Tobias Gemperlin (figure) and Hans van Stenwinkel the Elder (architecture), both named by Tycho in the Mechanica; Hans Knieper (landscape) — Tycho names only 'Johannes of Antwerp, royal painter at Kronborg', and the Knieper identification is uncontested scholarship (Friis; Christianson 2000)",lost,A,,"Site only: Uraniborg, island of Ven, Skåne, Sweden",,destroyed,,1582,1587,0,0,0,0,S_ICON_GILTQUAD; S_BECKETT; S_ICON_MORTENSEN1946; S_ICON_MECHANICA_TEXT; S_ICON_FRIIS; S_ICON_RESEN1668; S_ICON_THOREN; S_ICON_DREYER; S_ICON_CHRISTIANSON; S_ICON_DOSSIER_2026,plates/icon-mural-portrait.jpg
9,icon-supralibros,The gilt portrait supralibros — two dies,lifetime,die by 20 March 1588,1586,1588,"Cutter unrecorded. With the die now dated before late March 1588, Gemperlin (dead by 1587) is possible as designer and Hans Crol, Tycho's goldsmith on Hven (d. 30 November 1591), as cutter — but these are names of convenience, neither documented. The die pair's relationship is genuinely open: 1597 is the small die's first documented use, not a cutting date. If it is a later cutting it needs another hand; but Friis (c. 1890) held the small die the older of the pair — undefended, and the shared design cannot by itself discriminate one commission from two cuttings off one pattern.",extant,A,"Best-documented example: Det Kongelige Bibliotek, Copenhagen",Copenhagen,"LN 432 2°, eks. 2 — Tycho's presentation copy of the Mechanica to Petr Vok z Rožmberka",located,https://digitalesamlinger.kb.dk/books/boghis/2017/dec/tryk/object11914/da/,late 1586,20 March 1588,7,0,5,1,S_ICON_NTBB1931; S_ICON_MORTENSEN; S_ICON_GIGAS; S_ICON_DANSKEMAG1746; S_ICON_FRIIS; S_ICON_MORTENSEN1946; S_ICON_TBV2006; S_ICON_DOSSIER_2026,plates/icon-supralibros.jpg
10,icon-funeral-procession-1588,"Frederik II's funeral procession, 1588 — Tycho among the coffin-bearers",lifetime,5 June 1588 (the event); plate 1589,1588,1589,"Frans Hogenberg and Simon Novellanus, Cologne; commissioned by Heinrich Rantzau.",extant,C,Schleswig-Holsteinische Landesbibliothek,"Kiel, Germany",Yb 54-15 (within the set Yb 54),located,https://digicult-verbund.de/item/DE-MUS-076111/lido/Yb%2054-15,5 June 1588,1589,0,1,0,0,S_ICON_TBV2006; S_ICON_KIEL_YB54; S_ICON_TYPUS_CATREC; S_ICON_LOHMEIER2000; S_ICON_ILSOE2005; S_ICON_LACOUR1876,
